"","Gene_name","EntrezID"
"857","Dnal4","54152"
"858","Dnali1","75563"
"859","Dpcd","226162"
"860","Drc1","381738"
"861","Drc3","74665"
"862","Dvl1","13542"
"863","Dynlt1b","21648"
"864","Efhc1","71877"
"865","Efhc2","74405"
"866","Fignl1","60530"
"867","Flcn","216805"
"868","Gdi2","14569"
"869","Gnai2","14678"
"870","Gpbar1","227289"
"871","Htr6","15565"
"872","Ift43","76411"
"873","Ift74","67694"
"874","Inpp5b","16330"
"875","Inpp5e","64436"
"876","Iqce","74239"
"877","Iqcg","69707"
"878","4933427D14Rik","74477"
"879","Kif17","16559"
"880","Kif19a","286942"
"881","Kif27","75050"
"882","Kif3b","16569"
"883","Kif3c","16570"
"884","Kifap3","16579"
"885","Lca5","75782"
"886","Luzp1","269593"
"887","Mal","17153"
"888","Mark4","232944"
"889","Mcidas","622408"
"890","Mcrs1","51812"
"891","Mlf1","17349"
"892","Mxi1","17859"
"893","Myb","17863"
"894","Nek4","23955"
"895","Nek9","217718"
"896","Nme5","75533"
"897","Nphp1","53885"
"898","Nubp1","26425"
"899","Nubp2","26426"
"900","Ocrl","320634"
"901","Osr1","23967"
"902","Pacrg","69310"
"903","Pafah1b1","18472"
"904","Pard3","93742"
"905","Pcnt","18541"
"906","Pebp1","23980"
"907","Jade1","269424"
"908","Pkd1","18763"
"909","Pkd2","18764"
"910","Plk1","18817"
"911","Poc1b","382406"
"912","Ppp2r1a","51792"
"913","Prkar1a","19084"
"914","Proser3","333193"
"915","Rab11a","53869"
"916","Rab11b","19326"
"917","Rab29","226422"
"918","Rab3ip","216363"
"919","Rilpl2","80291"
"920","Ropn1","76378"
"921","Ropn1l","252967"
"922","Rp2","19889"
"923","Rpgr","19893"
"924","Sdccag8","76816"
"925","Spa17","20686"
"926","Spag1","26942"
"927","Spef2","320277"
"928","Ssx2ip","99167"
"929","Stk3","56274"
"930","Stk39","53416"
"931","Stoml3","229277"
"932","Tapt1","231225"
"933","Tekt1","21689"
"934","Tekt2","24084"
"935","Tekt3","71062"
"936","Tex9","21778"
"937","Tmem80","71448"
"938","Topors","106021"
"939","Ttc17","74569"
"940","Ttc30a2","620631"
"941","Ttll5","320244"
"942","Tuba1c","22146"
"943","Tubb2a","22151"
"944","Ulk4","209012"
"945","Unc119","22248"
"946","Vhl","22346"
"947","Wdr62","233064"
"948","Wnk1","232341"
"949","Wnk4","69847"
"950","Zmynd10","114602"
